자치구,행정동,기초생활수급자인원,노년부양비,고령자수,노령화지수,무료급식소개수,점수,순위,cluster
강남구,청담동,243,20.4,3814,128.7,0,-0.162046815,41,3
송파구,석촌동,995,18.9,4663,218.5,0,-0.185067117,42,3
송파구,풍납1동,522,30.9,2802,302.6,0,-0.198189396,43,3
송파구,오금동,1605,24.9,6807,178.7,0,-0.201903464,44,3
서초구,방배본동,361,21.5,3195,119.6,0,-0.221454845,45,3
강남구,개포3동,692,21,3559,179.7,1,-0.221749432,46,3
서초구,서초4동,70,20.4,4346,90,0,-0.238712822,47,3
강남구,삼성2동,466,16.9,3903,98.8,0,-0.289909169,48,3
서초구,반포1동,458,16.6,4133,77.8,0,-0.327911171,49,3
서초구,반포4동,117,21.9,2996,108.7,0,-0.336251349,50,3
강남구,일원본동,125,21.1,3382,93.2,0,-0.344843439,51,3
송파구,방이2동,905,17.1,3626,244.5,0,-0.350257552,52,3
강남구,도곡1동,157,20.4,3117,108.7,0,-0.354149714,53,3
서초구,반포3동,41,20.3,3268,96.5,0,-0.400103274,54,3
서초구,잠원동,254,17.4,3397,98,0,-0.411492824,55,3
서초구,서초2동,157,17.1,3396,94.6,0,-0.456519728,56,3
서초구,서초1동,356,20.5,3140,144.9,1,-0.471469514,57,3
강남구,삼성1동,168,24,2208,171.6,1,-0.477084755,58,3
강남구,대치4동,657,13.1,2082,140.6,0,-0.522772179,59,3
송파구,잠실7동,11,26.2,6070,125.4,0,-0.543057161,60,3
강남구,개포2동,174,18.8,3916,92.9,1,-0.60542292,61,3
송파구,가락2동,576,19.4,4506,117.7,0,-0.627856088,62,3
서초구,반포2동,7,20.1,2103,66.8,0,-0.687825317,63,3
강남구,역삼2동,570,14,3899,71.3,1,-0.721291355,64,3
강남구,대치1동,17,15.9,2684,63.9,0,-0.734919069,65,3
송파구,장지동,1680,17.3,3896,216.1,0,-0.802780352,66,3
서초구,반포본동,10,20.1,41,87.2,0,-0.951479238,67,3
