자치구,행정동,기초생활수급자인원,노년부양비,고령자수,노령화지수,무료급식소개수,점수,순위,cluster
노원구,중계본동,616,14.9,2617,79.3,0,-0.994468252,268,1
마포구,용강동,431,19.6,3025,94.2,1,-1.016128077,269,1
영등포구,영등포동,1635,13.6,3395,222.7,3,-1.022811925,270,1
노원구,중계1동,787,13,2556,58.7,0,-1.088398335,271,1
양천구,신월6동,268,20.8,2029,100.5,1,-1.114477761,272,1
구로구,항동,598,15.9,1785,51.6,0,-1.142411514,273,1
양천구,신정2동,711,19.9,2728,106.8,2,-1.180165256,274,1
서대문구,남가좌1동,287,20.2,2276,72,1,-1.181734415,275,1
마포구,대흥동,483,15.1,1976,203.3,2,-1.223621421,276,1
마포구,서강동,346,16.8,3307,130.7,2,-1.236882743,277,1
마포구,아현동,524,17.8,3367,93.2,2,-1.258598305,278,1
마포구,염리동,405,15.7,2072,92.7,1,-1.281674287,279,1
광진구,중곡4동,1534,25.7,5411,278.8,0,1.163973823,1,2
중구,약수동,944,35.7,3980,284.4,0,1.105766295,2,2
중구,을지로동,148,34.1,454,659.2,0,0.951732367,3,2
종로구,창신1동,501,29.8,1176,555.1,0,0.803631207,4,2
광진구,자양4동,1001,23.9,3749,340,0,0.699262181,5,2
중구,회현동,463,37.4,1250,367.5,0,0.697218401,6,2
종로구,창신2동,491,28.1,1809,487.6,0,0.669336128,7,2
용산구,보광동,1086,25.1,2643,351.5,0,0.638073769,8,2
중구,청구동,769,29.7,2840,275,0,0.545278534,9,2
광진구,중곡3동,1204,24.2,2937,275.3,0,0.524270266,10,2
용산구,청파동,1136,20.7,3206,327.7,0,0.502841578,11,2
광진구,구의2동,1132,23.2,4502,174.7,0,0.467581186,12,2
광진구,자양1동,1294,20.8,3621,249.3,0,0.467439976,13,2
성동구,용답동,918,22.6,2176,389.4,0,0.458404908,14,2
중구,다산동,507,27.4,2807,335.2,0,0.453362451,15,2
성동구,성수2가1동,818,25.4,2934,278.2,0,0.400005295,16,2
용산구,용산2가동,605,26.5,2014,358.8,0,0.384657195,17,2
광진구,자양2동,883,23.6,4196,189.3,0,0.35048362,18,2
종로구,종로1·2·3·4가동,786,27.7,1706,297.8,0,0.33092326,19,2
성동구,금호2·3가동,769,24.6,3980,178.7,0,0.280315318,20,2
용산구,후암동,907,24.2,2972,221.3,0,0.262034498,21,2
성동구,행당2동,861,24.1,4003,157.8,0,0.256763178,22,2
광진구,중곡1동,989,21.8,2619,272.3,0,0.255445465,23,2
용산구,남영동,1375,27.4,1544,553.9,3,0.246538968,24,2
종로구,숭인2동,475,20.5,1709,455.8,0,0.232161828,25,2
광진구,중곡2동,935,20.9,3410,215.1,0,0.185944126,26,2
종로구,종로5·6가동,319,23.7,1058,435.9,0,0.146607083,27,2
용산구,이촌2동,174,32.1,1786,251.3,0,0.139530618,28,2
